"T","replica","parameter","mean","median","sd","2.5%","25%","50%","75%","97.5%"
500,1,"alpha0",0.117515876384819,0.114560958805425,0.0339439990173894,0.0602742476875576,0.0959599809600336,0.114560958805425,0.1379301561546,0.172473651999387
500,1,"alpha1",0.365203023581216,0.360019771625674,0.088283239248381,0.203551777124998,0.303533575667971,0.360019771625674,0.421611761785426,0.558153279816985
500,1,"beta1",0.218113019476006,0.218551541814035,0.12718815044589,0.0144776169349996,0.112581339113687,0.218551541814035,0.305829680454861,0.486933555478355
500,2,"alpha0",0.0778740336522308,0.0732203436246031,0.0280175151292928,0.0409351113594799,0.061620603552633,0.0732203436246031,0.0885122098556252,0.132913506262379
500,2,"alpha1",0.388762667957002,0.379722661968767,0.0911139615861569,0.237503472779252,0.322508491380391,0.379722661968767,0.446802973028642,0.592658518502976
500,2,"beta1",0.304789030052543,0.316537436754726,0.128393976282191,0.0285628004100331,0.22341148558216,0.316537436754726,0.39828700072561,0.52960382184343
500,3,"alpha0",0.116639225918137,0.115639740606859,0.0341042515263168,0.0591103284400038,0.0970895162874139,0.115639740606859,0.133860760656056,0.173907752371466
500,3,"alpha1",0.255698016210151,0.251599275606119,0.0636064323040159,0.138153658363876,0.21282847977761,0.251599275606119,0.294767106349845,0.393804452204467
500,3,"beta1",0.330405459614729,0.318245998393403,0.121493704335202,0.124159753046317,0.244704648161979,0.318245998393403,0.406920031813933,0.591310550289221
500,4,"alpha0",0.115754147209556,0.114585985621036,0.0255283114684489,0.0777984658913127,0.100348524282077,0.114585985621036,0.128938985181918,0.157128834433544
500,4,"alpha1",0.41258142049665,0.40613966581146,0.0897074004834133,0.252925292828239,0.348394461262572,0.40613966581146,0.470065184024976,0.614961646453055
500,4,"beta1",0.177920208937702,0.166562883109724,0.0859972351243716,0.0360808725644125,0.114002951206619,0.166562883109724,0.234749554587546,0.365291678033656
500,5,"alpha0",0.0859039346330981,0.0812838891511963,0.0298519025719664,0.0494394540867402,0.0699604585082428,0.0812838891511963,0.0965486176173557,0.139668418454513
500,5,"alpha1",0.280485109548527,0.277310158364307,0.0666289979079353,0.162937957062808,0.234632232021418,0.277310158364307,0.321756985806771,0.423567545979339
500,5,"beta1",0.396725179632268,0.401429716790531,0.10944369392694,0.162518266062402,0.330907835787505,0.401429716790531,0.466420281934833,0.602799551036253
500,6,"alpha0",0.134688467541563,0.134109418843346,0.0324980084602202,0.0749436490240824,0.115873339765427,0.134109418843346,0.152538848630045,0.19372968702906
500,6,"alpha1",0.236388252688028,0.228305365686096,0.0706873779459742,0.120862487029171,0.187909947480725,0.228305365686096,0.274901670343841,0.403152352498177
500,6,"beta1",0.252698013195072,0.242857996297172,0.127171356956645,0.0392790887571972,0.166108176215149,0.242857996297172,0.321250219973898,0.533403119595758
500,7,"alpha0",0.128540423717706,0.128163324180774,0.0285081462045896,0.0809785710847787,0.111174872213887,0.128163324180774,0.144293622118961,0.176195348420732
500,7,"alpha1",0.264983266113156,0.259275646247376,0.0627833627707178,0.158764813762138,0.219375806076072,0.259275646247376,0.304445410570409,0.401207899510589
500,7,"beta1",0.195725194475465,0.18929787586086,0.099264184603678,0.0274859141948506,0.127604275524613,0.18929787586086,0.255175356310937,0.416490079957004
500,8,"alpha0",0.0820723553476462,0.0791791322387613,0.0272423683641709,0.0432248345176998,0.0653472330486011,0.0791791322387613,0.0963921306924094,0.125855471127682
500,8,"alpha1",0.334548903798653,0.327736330478186,0.0829690461595418,0.193901106596117,0.279683266813011,0.327736330478186,0.382057048756219,0.508088153774927
500,8,"beta1",0.352962756623099,0.355065088451792,0.117892799900712,0.136979308654303,0.264930882453513,0.355065088451792,0.432221947176531,0.596144611750365
500,9,"alpha0",0.0812455406560829,0.0777819143251766,0.0320217987039531,0.0355650268125001,0.0610398942344208,0.0777819143251766,0.096550215826833,0.138557576024032
500,9,"alpha1",0.259965084097052,0.254827179310354,0.0657066241552437,0.141792344827687,0.214537062097145,0.254827179310354,0.30206643582828,0.403882623214894
500,9,"beta1",0.345916188362174,0.348950696436419,0.144529988550169,0.0495331013235346,0.254338556917718,0.348950696436419,0.43921658129493,0.630025537236608
500,10,"alpha0",0.0983172114480219,0.0970325568148766,0.0270024619853474,0.0586080322789714,0.0804670722682257,0.0970325568148766,0.113614368321238,0.139655467073471
500,10,"alpha1",0.357915699427647,0.353240281348183,0.0748461807813895,0.227774393124093,0.303338154067112,0.353240281348183,0.406593774027941,0.514257757483331
500,10,"beta1",0.281582615030313,0.279517589922411,0.0992082888112164,0.0975003220372849,0.209010230236553,0.279517589922411,0.35340547237289,0.475229174270332
500,11,"alpha0",0.132279952685579,0.131709334941396,0.0310806988162824,0.0833594123934526,0.109495748667011,0.131709334941396,0.152168268366849,0.185683432600993
500,11,"alpha1",0.356942951382176,0.352062650220079,0.077775330795004,0.220040688296287,0.299600456133141,0.352062650220079,0.407141246021183,0.520262932825935
500,11,"beta1",0.199763437025088,0.190092342873189,0.108291949110073,0.023180131851017,0.115138409802474,0.190092342873189,0.275287251818975,0.421224713274582
500,12,"alpha0",0.117729521141273,0.115338590439368,0.0337850561001093,0.0486558369921325,0.0983263988567363,0.115338590439368,0.137761448059061,0.174615941623948
500,12,"alpha1",0.318512039497459,0.310951480411887,0.0821427725051485,0.172552728691681,0.260634601088603,0.310951480411887,0.369945925535366,0.494590745605671
500,12,"beta1",0.248302886946871,0.23377181438293,0.133058803057662,0.0280277832380611,0.158895445485942,0.23377181438293,0.325205090134071,0.594181387417509
500,13,"alpha0",0.0765721578524989,0.0753821604344643,0.025978165951836,0.0387191633746575,0.0636395390893446,0.0753821604344643,0.086862523077937,0.114332132474068
500,13,"alpha1",0.363572296889411,0.35774250099686,0.0787540100790414,0.220813253958932,0.309308808813858,0.35774250099686,0.414665597159098,0.528827943569012
500,13,"beta1",0.378370002984845,0.377321849363903,0.0988782446448461,0.195957097011926,0.308751002172037,0.377321849363903,0.437445662867731,0.599353603094608
500,14,"alpha0",0.102469941586419,0.100289375436275,0.0304753580258297,0.0599119716445151,0.0851925587432416,0.100289375436275,0.116142133993584,0.149373767222398
500,14,"alpha1",0.288044972416622,0.282814343465322,0.0732353409110924,0.157663296822085,0.236444319285243,0.282814343465322,0.335330785401828,0.442605745323151
500,14,"beta1",0.271879805855493,0.271303659213299,0.112612777720158,0.0614089144689063,0.191467030901765,0.271303659213299,0.347319241165375,0.505293048469319
500,15,"alpha0",0.107807931100508,0.107596919796241,0.0328796929525906,0.0476191373543144,0.0874558866483436,0.107596919796241,0.12786062123334,0.159643907754757
500,15,"alpha1",0.294426901041152,0.290626535494402,0.0796875271395953,0.148556757667335,0.237077256989941,0.290626535494402,0.346073668177558,0.46057487843265
500,15,"beta1",0.333601230614874,0.323187314237131,0.11722862244458,0.12149518145952,0.252984528372327,0.323187314237131,0.414314514562565,0.57128087514298
500,16,"alpha0",0.138122934117014,0.138147582633005,0.0285310422353675,0.0835832035130922,0.120369395751472,0.138147582633005,0.155473994302992,0.189024899828651
500,16,"alpha1",0.33608385952381,0.32744095305929,0.0752120533430055,0.208904459714548,0.281573284525694,0.32744095305929,0.384060816362118,0.49641538984139
500,16,"beta1",0.167398030439909,0.154244598921673,0.100663893649006,0.0119830387053457,0.0903840151067731,0.154244598921673,0.232934994388649,0.392433819411637
500,17,"alpha0",0.0767106816812271,0.0672827734917505,0.0394472735171274,0.0308113856854439,0.0478969715058188,0.0672827734917505,0.0961664320067622,0.156831244464634
500,17,"alpha1",0.212796987760684,0.206195752642804,0.0611720828548308,0.109312726884978,0.169800509909698,0.206195752642804,0.250041463364228,0.351397347234901
