Date,Open,High,Low,Close,Adj Close,Volume
1997-01-02,4118.790039,4118.790039,4118.790039,4118.790039,4118.790039,0
1997-01-03,4166.680176,4166.680176,4166.680176,4166.680176,4166.680176,0
1997-01-06,4169.009766,4169.009766,4169.009766,4169.009766,4169.009766,0
1997-01-07,4196.709961,4196.709961,4196.709961,4196.709961,4196.709961,0
1997-01-08,4179.270020,4179.270020,4179.270020,4179.270020,4179.270020,0
1997-01-09,4214.479980,4214.479980,4214.479980,4214.479980,4214.479980,0
1997-01-10,4237.529785,4237.529785,4237.529785,4237.529785,4237.529785,0
1997-01-13,4237.000000,4237.000000,4237.000000,4237.000000,4237.000000,0
1997-01-14,4283.100098,4283.100098,4283.100098,4283.100098,4283.100098,0
1997-01-15,4282.779785,4282.779785,4282.779785,4282.779785,4282.779785,0
1997-01-16,4294.200195,4294.200195,4294.200195,4294.200195,4294.200195,0
1997-01-17,4327.930176,4327.930176,4327.930176,4327.930176,4327.930176,0
1997-01-20,4327.930176,4327.930176,4327.930176,4327.930176,4327.930176,0
1997-01-21,4351.830078,4351.830078,4351.830078,4351.830078,4351.830078,0
1997-01-22,4364.839844,4364.839844,4364.839844,4364.839844,4364.839844,0
1997-01-23,4326.240234,4326.240234,4326.240234,4326.240234,4326.240234,0
1997-01-24,4287.750000,4287.750000,4287.750000,4287.750000,4287.750000,0
1997-01-27,4258.890137,4258.890137,4258.890137,4258.890137,4258.890137,0
1997-01-28,4259.729980,4259.729980,4259.729980,4259.729980,4259.729980,0
1997-01-29,4293.890137,4293.890137,4293.890137,4293.890137,4293.890137,0
1997-01-30,4347.919922,4347.919922,4347.919922,4347.919922,4347.919922,0
1997-01-31,4356.169922,4356.169922,4356.169922,4356.169922,4356.169922,0
1997-02-03,4361.450195,4361.450195,4361.450195,4361.450195,4361.450195,0
1997-02-04,4370.549805,4370.549805,4370.549805,4370.549805,4370.549805,0
1997-02-05,4321.910156,4321.910156,4321.910156,4321.910156,4321.910156,0
1997-02-06,4334.069824,4334.069824,4334.069824,4334.069824,4334.069824,0
1997-02-07,4375.410156,4375.410156,4375.410156,4375.410156,4375.410156,0
1997-02-10,4360.080078,4360.080078,4360.080078,4360.080078,4360.080078,0
1997-02-11,4378.479980,4378.479980,4378.479980,4378.479980,4378.479980,0
1997-02-12,4439.700195,4439.700195,4439.700195,4439.700195,4439.700195,0
1997-02-13,4487.700195,4487.700195,4487.700195,4487.700195,4487.700195,0
1997-02-14,4477.759766,4477.759766,4477.759766,4477.759766,4477.759766,0
1997-02-18,4515.720215,4515.720215,4515.720215,4515.720215,4515.720215,0
1997-02-19,4499.859863,4499.859863,4499.859863,4499.859863,4499.859863,0
1997-02-20,4452.490234,4452.490234,4452.490234,4452.490234,4452.490234,0
1997-02-21,4451.649902,4451.649902,4451.649902,4451.649902,4451.649902,0
1997-02-24,4488.339844,4488.339844,4488.339844,4488.339844,4488.339844,0
1997-02-25,4499.439941,4499.439941,4499.439941,4499.439941,4499.439941,0
1997-02-26,4463.589844,4463.589844,4463.589844,4463.589844,4463.589844,0
1997-02-27,4418.660156,4418.660156,4418.660156,4418.660156,4418.660156,0
1997-02-28,4393.490234,4393.490234,4393.490234,4393.490234,4393.490234,0
1997-03-03,4412.839844,4412.839844,4412.839844,4412.839844,4412.839844,0
1997-03-04,4395.290039,4395.290039,4395.290039,4395.290039,4395.290039,0
1997-03-05,4448.049805,4448.049805,4448.049805,4448.049805,4448.049805,0
1997-03-06,4443.500000,4443.500000,4443.500000,4443.500000,4443.500000,0
1997-03-07,4481.459961,4481.459961,4481.459961,4481.459961,4481.459961,0
1997-03-10,4522.379883,4522.379883,4522.379883,4522.379883,4522.379883,0
1997-03-11,4515.620117,4515.620117,4515.620117,4515.620117,4515.620117,0
1997-03-12,4478.399902,4478.399902,4478.399902,4478.399902,4478.399902,0
1997-03-13,4397.299805,4397.299805,4397.299805,4397.299805,4397.299805,0
1997-03-14,4416.649902,4416.649902,4416.649902,4416.649902,4416.649902,0
1997-03-17,4423.729980,4423.729980,4423.729980,4423.729980,4423.729980,0
1997-03-18,4392.330078,4392.330078,4392.330078,4392.330078,4392.330078,0
1997-03-19,4373.189941,4373.189941,4373.189941,4373.189941,4373.189941,0
1997-03-20,4354.049805,4354.049805,4354.049805,4354.049805,4354.049805,0
1997-03-21,4364.839844,4364.839844,4364.839844,4364.839844,4364.839844,0
1997-03-24,4398.669922,4398.669922,4398.669922,4398.669922,4398.669922,0
1997-03-25,4392.430176,4392.430176,4392.430176,4392.430176,4392.430176,0
1997-03-26,4392.009766,4392.009766,4392.009766,4392.009766,4392.009766,0
1997-03-27,4308.060059,4308.060059,4308.060059,4308.060059,4308.060059,0
1997-03-31,4214.160156,4214.160156,4214.160156,4214.160156,4214.160156,0
1997-04-01,4227.379883,4227.379883,4227.379883,4227.379883,4227.379883,0
1997-04-02,4180.540039,4180.540039,4180.540039,4180.540039,4180.540039,0
1997-04-03,4170.279785,4170.279785,4170.279785,4170.279785,4170.279785,0
1997-04-04,4208.560059,4208.560059,4208.560059,4208.560059,4208.560059,0
1997-04-07,4236.680176,4236.680176,4236.680176,4236.680176,4236.680176,0
1997-04-08,4253.919922,4253.919922,4253.919922,4253.919922,4253.919922,0
1997-04-09,4232.560059,4232.560059,4232.560059,4232.560059,4232.560059,0
1997-04-10,4222.729980,4222.729980,4222.729980,4222.729980,4222.729980,0
1997-04-11,4118.149902,4118.149902,4118.149902,4118.149902,4118.149902,0
1997-04-14,4139.509766,4139.509766,4139.509766,4139.509766,4139.509766,0
1997-04-15,4204.330078,4204.330078,4204.330078,4204.330078,4204.330078,0
1997-04-16,4248.000000,4248.000000,4248.000000,4248.000000,4248.000000,0
1997-04-17,4236.370117,4236.370117,4236.370117,4236.370117,4236.370117,0
1997-04-18,4257.410156,4257.410156,4257.410156,4257.410156,4257.410156,0
1997-04-21,4223.149902,4223.149902,4223.149902,4223.149902,4223.149902,0
1997-04-22,4291.240234,4291.240234,4291.240234,4291.240234,4291.240234,0
1997-04-23,4279.290039,4279.290039,4279.290039,4279.290039,4279.290039,0
1997-04-24,4267.770020,4267.770020,4267.770020,4267.770020,4267.770020,0
1997-04-25,4233.509766,4233.509766,4233.509766,4233.509766,4233.509766,0
1997-04-28,4268.509766,4268.509766,4268.509766,4268.509766,4268.509766,0
1997-04-29,4373.509766,4373.509766,4373.509766,4373.509766,4373.509766,0
1997-04-30,4408.609863,4408.609863,4408.609863,4408.609863,4408.609863,0
1997-05-01,4395.609863,4395.609863,4395.609863,4395.609863,4395.609863,0
1997-05-02,4472.370117,4472.370117,4472.370117,4472.370117,4472.370117,0
1997-05-05,4561.819824,4561.819824,4561.819824,4561.819824,4561.819824,0
1997-05-06,4554.850098,4554.850098,4554.850098,4554.850098,4554.850098,0
1997-05-07,4493.310059,4493.310059,4493.310059,4493.310059,4493.310059,0
1997-05-08,4513.930176,4513.930176,4513.930176,4513.930176,4513.930176,0
1997-05-09,4538.560059,4538.560059,4538.560059,4538.560059,4538.560059,0
1997-05-12,4605.600098,4605.600098,4605.600098,4605.600098,4605.600098,0
1997-05-13,4588.680176,4588.680176,4588.680176,4588.680176,4588.680176,0
1997-05-14,4605.919922,4605.919922,4605.919922,4605.919922,4605.919922,0
1997-05-15,4627.589844,4627.589844,4627.589844,4627.589844,4627.589844,0
1997-05-16,4572.500000,4572.500000,4572.500000,4572.500000,4572.500000,0
1997-05-19,4590.479980,4590.479980,4590.479980,4590.479980,4590.479980,0
1997-05-20,4622.839844,4622.839844,4622.839844,4622.839844,4622.839844,0
1997-05-21,4612.370117,4612.370117,4612.370117,4612.370117,4612.370117,0
1997-05-22,4595.979980,4595.979980,4595.979980,4595.979980,4595.979980,0
1997-05-23,4655.399902,4655.399902,4655.399902,4655.399902,4655.399902,0
1997-05-27,4659.529785,4659.529785,4659.529785,4659.529785,4659.529785,0
1997-05-28,4648.850098,4648.850098,4648.850098,4648.850098,4648.850098,0
1997-05-29,4640.390137,4640.390137,4640.390137,4640.390137,4640.390137,0
1997-05-30,4671.259766,4671.259766,4671.259766,4671.259766,4671.259766,0
1997-06-02,4668.729980,4668.729980,4668.729980,4668.729980,4668.729980,0
1997-06-03,4677.399902,4677.399902,4677.399902,4677.399902,4677.399902,0
1997-06-04,4654.339844,4654.339844,4654.339844,4654.339844,4654.339844,0
1997-06-05,4669.779785,4669.779785,4669.779785,4669.779785,4669.779785,0
1997-06-06,4738.410156,4738.410156,4738.410156,4738.410156,4738.410156,0
1997-06-09,4759.979980,4759.979980,4759.979980,4759.979980,4759.979980,0
1997-06-10,4776.790039,4776.790039,4776.790039,4776.790039,4776.790039,0
1997-06-11,4795.189941,4795.189941,4795.189941,4795.189941,4795.189941,0
1997-06-12,4870.680176,4870.680176,4870.680176,4870.680176,4870.680176,0
1997-06-13,4918.580078,4918.580078,4918.580078,4918.580078,4918.580078,0
1997-06-16,4916.890137,4916.890137,4916.890137,4916.890137,4916.890137,0
1997-06-17,4917.740234,4917.740234,4917.740234,4917.740234,4917.740234,0
1997-06-18,4899.970215,4899.970215,4899.970215,4899.970215,4899.970215,0
1997-06-19,4945.970215,4945.970215,4945.970215,4945.970215,4945.970215,0
1997-06-20,4946.810059,4946.810059,4946.810059,4946.810059,4946.810059,0
1997-06-23,4847.950195,4847.950195,4847.950195,4847.950195,4847.950195,0
1997-06-24,4929.160156,4929.160156,4929.160156,4929.160156,4929.160156,0
1997-06-25,4894.580078,4894.580078,4894.580078,4894.580078,4894.580078,0
1997-06-26,4873.750000,4873.750000,4873.750000,4873.750000,4873.750000,0
1997-06-27,4898.810059,4898.810059,4898.810059,4898.810059,4898.810059,0
1997-06-30,4889.720215,4889.720215,4889.720215,4889.720215,4889.720215,0
1997-07-01,4927.459961,4927.459961,4927.459961,4927.459961,4927.459961,0
1997-07-02,4987.729980,4987.729980,4987.729980,4987.729980,4987.729980,0
1997-07-03,5050.859863,5050.859863,5050.859863,5050.859863,5050.859863,0
1997-07-07,5028.339844,5028.339844,5028.339844,5028.339844,5028.339844,0
1997-07-08,5059.419922,5059.419922,5059.419922,5059.419922,5059.419922,0
1997-07-09,5001.689941,5001.689941,5001.689941,5001.689941,5001.689941,0
1997-07-10,5035.950195,5035.950195,5035.950195,5035.950195,5035.950195,0
1997-07-11,5055.509766,5055.509766,5055.509766,5055.509766,5055.509766,0
1997-07-14,5055.410156,5055.410156,5055.410156,5055.410156,5055.410156,0
1997-07-15,5085.859863,5085.859863,5085.859863,5085.859863,5085.859863,0
1997-07-16,5130.799805,5130.799805,5130.799805,5130.799805,5130.799805,0
1997-07-17,5106.689941,5106.689941,5106.689941,5106.689941,5106.689941,0
1997-07-18,5032.779785,5032.779785,5032.779785,5032.779785,5032.779785,0
1997-07-21,5017.240234,5017.240234,5017.240234,5017.240234,5017.240234,0
1997-07-22,5116.520020,5116.520020,5116.520020,5116.520020,5116.520020,0
1997-07-23,5133.649902,5133.649902,5133.649902,5133.649902,5133.649902,0
1997-07-24,5152.680176,5152.680176,5152.680176,5152.680176,5152.680176,0
1997-07-25,5147.290039,5147.290039,5147.290039,5147.290039,5147.290039,0
1997-07-28,5138.089844,5138.089844,5138.089844,5138.089844,5138.089844,0
1997-07-29,5164.529785,5164.529785,5164.529785,5164.529785,5164.529785,0
1997-07-30,5218.879883,5218.879883,5218.879883,5218.879883,5218.879883,0
1997-07-31,5228.709961,5228.709961,5228.709961,5228.709961,5228.709961,0
1997-08-01,5191.490234,5191.490234,5191.490234,5191.490234,5191.490234,0
1997-08-04,5201.540039,5201.540039,5201.540039,5201.540039,5201.540039,0
1997-08-05,5212.430176,5212.430176,5212.430176,5212.430176,5212.430176,0
1997-08-06,5255.140137,5255.140137,5255.140137,5255.140137,5255.140137,0
1997-08-07,5208.830078,5208.830078,5208.830078,5208.830078,5208.830078,0
1997-08-08,5115.470215,5115.470215,5115.470215,5115.470215,5115.470215,0
1997-08-11,5130.479980,5130.479980,5130.479980,5130.479980,5130.479980,0
1997-08-12,5083.430176,5083.430176,5083.430176,5083.430176,5083.430176,0
1997-08-13,5058.680176,5058.680176,5058.680176,5058.680176,5058.680176,0
1997-08-14,5071.799805,5071.799805,5071.799805,5071.799805,5071.799805,0
1997-08-15,4960.140137,4960.140137,4960.140137,4960.140137,4960.140137,0
1997-08-18,5007.189941,5007.189941,5007.189941,5007.189941,5007.189941,0
1997-08-19,5070.529785,5070.529785,5070.529785,5070.529785,5070.529785,0
1997-08-20,5135.660156,5135.660156,5135.660156,5135.660156,5135.660156,0
1997-08-21,5072.850098,5072.850098,5072.850098,5072.850098,5072.850098,0
1997-08-22,5064.080078,5064.080078,5064.080078,5064.080078,5064.080078,0
1997-08-25,5054.560059,5054.560059,5054.560059,5054.560059,5054.560059,0
1997-08-26,5026.330078,5026.330078,5026.330078,5026.330078,5026.330078,0
1997-08-27,5033.620117,5033.620117,5033.620117,5033.620117,5033.620117,0
1997-08-28,4994.609863,4994.609863,4994.609863,4994.609863,4994.609863,0
1997-08-29,4974.729980,4974.729980,4974.729980,4974.729980,4974.729980,0
